"시점","구분별(1)","구분별(2)",수준별(1),① 전혀 심하지 않다 (%),② 별로 심하지 않다 (%),③ 약간 심하다 (%),④ 매우 심하다 (%),평균 (점)
"2013","연령별","40~49세",남자와 여자,3.4,49.7,41.1,5.9,2.5
"2014","연령별","40~49세",남자와 여자,3.5,51.6,38.9,5.9,2.5
"2015","연령별","40~49세",남자와 여자,5.4,49.4,37.9,7.3,2.5
"2016","연령별","40~49세",남자와 여자,4.4,47.3,41.9,6.5,2.5
"2017","연령별","40~49세",남자와 여자,3.4,47.5,41.3,7.8,2.5
"2018","연령별","40~49세",남자와 여자,4.8,43.8,40.7,10.7,2.6
"2019","연령별","40~49세",남자와 여자,4.0,40.9,43.2,11.9,2.6
"2020","연령별","40~49세",남자와 여자,4.6,43.9,43.2,8.4,2.6
"2021","연령별","40~49세",남자와 여자,7.7,43.5,41.1,7.7,2.5
"2022","연령별","40~49세",남자와 여자,4.4,46.4,42.6,6.7,2.5
