"시점","구분별(1)","구분별(2)",수준별(1),① 전혀 심하지 않다 (%),② 별로 심하지 않다 (%),③ 약간 심하다 (%),④ 매우 심하다 (%),평균 (점)
"2013","연령별","19~29세",남자와 여자,5.2,43.2,38.6,13.0,2.6
"2014","연령별","19~29세",남자와 여자,4.6,46.5,40.5,8.4,2.5
"2015","연령별","19~29세",남자와 여자,4.5,48.5,37.0,10.0,2.5
"2016","연령별","19~29세",남자와 여자,3.8,40.0,44.7,11.6,2.6
"2017","연령별","19~29세",남자와 여자,4.2,42.9,40.5,12.3,2.6
"2018","연령별","19~29세",남자와 여자,5.0,35.7,44.8,14.6,2.7
"2019","연령별","19~29세",남자와 여자,2.8,37.9,42.1,17.2,2.7
"2020","연령별","19~29세",남자와 여자,3.9,44.5,40.2,11.4,2.6
"2021","연령별","19~29세",남자와 여자,3.9,43.6,40.7,11.8,2.6
"2022","연령별","19~29세",남자와 여자,5.8,46.5,41.6,6.1,2.5
